config_id,pyeong,expansion,space_name,space_order,window_type,std_width,std_height,quantity,recommend_product_id,note
apt-20-nexp-livingroom,20,비확장형,거실,1,슬라이딩,2400,2000,1,lx-vf80-d,발코니 비확장 시 거실 외창
apt-20-nexp-masterroom,20,비확장형,안방,2,이중창,1600,1400,1,lx-vf90-d,
apt-20-nexp-bedroom1,20,비확장형,침실1,3,이중창,1200,1200,1,lx-vf80-d,
apt-20-nexp-bedroom2,20,비확장형,침실2,4,이중창,1200,1200,1,lx-vf80-d,
apt-20-nexp-kitchen,20,비확장형,주방,5,슬라이딩,1800,1200,1,lx-vf70-s,
apt-20-nexp-utility,20,비확장형,다용도실,6,슬라이딩,1200,1000,1,lx-vf70-s,
apt-20-nexp-frontbalcony,20,비확장형,앞발코니,7,슬라이딩,3000,1200,1,lx-vf70-s,
apt-20-nexp-rearbalcony,20,비확장형,뒷발코니,8,슬라이딩,2400,1200,1,lx-vf70-s,
apt-20-exp-livingroom,20,확장형,거실,1,이중창,2800,2200,1,lx-vf80-d,확장형 거실 외창
apt-20-exp-masterroom,20,확장형,안방,2,이중창,1600,1400,1,lx-vf90-d,
apt-20-exp-bedroom1,20,확장형,침실1,3,이중창,1200,1200,1,lx-vf80-d,
apt-20-exp-bedroom2,20,확장형,침실2,4,이중창,1200,1200,1,lx-vf80-d,
apt-20-exp-kitchen,20,확장형,주방,5,슬라이딩,1800,1200,1,lx-vf70-s,
apt-20-exp-utility,20,확장형,다용도실,6,슬라이딩,1200,1000,1,lx-vf70-s,
apt-20-exp-masterbalcony,20,확장형,안방발코니,7,시스템창호,2400,2000,1,lx-smartbalcony,터닝도어 연계
apt-20-exp-turningdoor,20,확장형,터닝도어,8,폴딩도어,2400,2200,1,lx-vf100-fd,
apt-30-nexp-livingroom,30,비확장형,거실,1,슬라이딩,3000,2000,1,lx-vf80-d,
apt-30-nexp-masterroom,30,비확장형,안방,2,이중창,1800,1400,1,lx-vf90-d,
apt-30-nexp-bedroom1,30,비확장형,침실1,3,이중창,1400,1200,1,lx-vf80-d,
